feature_type,mode,start_layer,end_layer,best_epoch,train_auroc,train_auprc,train_log_loss,val_auroc,val_auprc,val_log_loss,test_auroc,test_auprc,test_log_loss
attn,consecutive3,31,33,45,1.0,1.0,0.00011295413890820323,1.0,1.0,0.011899107136224123,1.0,0.9999999999999999,0.003541208563222821
attn,consecutive3,32,34,45,1.0,1.0,0.00012231244325098696,1.0,1.0,0.014212661450044106,1.0,0.9999999999999999,0.003414871251452321
attn,consecutive3,33,35,20,1.0,1.0,0.0003052025596461471,1.0,1.0,0.021394733109601625,1.0,0.9999999999999999,0.010119971309257415
ffn,single,5,5,60,1.0,1.0,0.0001223120609990695,1.0,1.0,0.04778553299543582,1.0,0.9999999999999999,0.00010752743157773842
ffn,single,6,6,60,1.0,1.0,0.00011584675934061422,1.0,1.0,0.020591774612185573,1.0,0.9999999999999999,0.0014391476730595838
ffn,single,7,7,60,1.0,1.0,0.00011672697710649143,1.0,1.0,0.0035076825602247913,1.0,0.9999999999999999,8.585297360121553e-05
ffn,single,8,8,60,1.0,1.0,5.126406232215561e-05,1.0,1.0,0.0032126764254897557,1.0,0.9999999999999999,7.647094299388018e-05
ffn,single,9,9,60,1.0,1.0,6.462242176030002e-05,1.0,1.0,0.0007158440107163688,1.0,0.9999999999999999,0.00016637328944969602
ffn,single,10,10,60,1.0,1.0,5.177705213908001e-05,1.0,1.0,0.00037782503073669523,1.0,0.9999999999999999,0.00046969207124664494
ffn,single,11,11,60,1.0,1.0,5.2087923990897505e-05,1.0,1.0,0.0009586389290280852,1.0,0.9999999999999999,0.00028383286256182766
ffn,single,12,12,60,1.0,1.0,4.401809088606338e-05,1.0,1.0,0.00023767730792725308,1.0,0.9999999999999999,0.00016061325846517804
ffn,single,13,13,60,1.0,1.0,4.541251162897866e-05,1.0,1.0,0.00045715939688450834,1.0,0.9999999999999999,0.0001352730910616775
ffn,single,14,14,60,1.0,1.0,4.8932407406530385e-05,1.0,1.0,0.00041151548383079877,1.0,0.9999999999999999,0.00027006786186739367
ffn,single,15,15,60,1.0,1.0,4.861935608688273e-05,1.0,1.0,0.00012971109810081994,1.0,0.9999999999999999,0.0006637151087937935
ffn,single,16,16,60,1.0,1.0,4.845511414952029e-05,1.0,1.0,0.00045460552480640565,1.0,0.9999999999999999,0.0003327781872521852
ffn,single,17,17,60,1.0,1.0,4.7633589247015855e-05,1.0,1.0,0.0003791054405776296,1.0,0.9999999999999999,0.0009525488417777125
ffn,single,18,18,60,1.0,1.0,4.520059929229761e-05,1.0,1.0,0.0002978519360603662,1.0,0.9999999999999999,0.00029454696294237197
ffn,single,19,19,60,1.0,1.0,4.8173696822586673e-05,1.0,1.0,0.0011586213027178288,1.0,0.9999999999999999,7.8459582660898e-05
ffn,single,20,20,60,1.0,1.0,6.195983492535111e-05,1.0,1.0,0.0009990429896600413,1.0,0.9999999999999999,0.00045083022689866776
ffn,single,21,21,60,1.0,1.0,5.835523482702667e-05,1.0,1.0,0.001826709016318489,1.0,0.9999999999999999,0.0007529256361631968
ffn,single,22,22,60,1.0,1.0,6.458115574056225e-05,1.0,1.0,0.0027323207302542606,1.0,0.9999999999999999,0.003301643923913677
ffn,single,23,23,60,1.0,1.0,7.35494095852019e-05,1.0,1.0,0.002052822515550685,1.0,0.9999999999999999,0.0005452035305421677
ffn,single,24,24,60,1.0,1.0,0.00010093149538630121,1.0,1.0,0.0009833533214099492,1.0,0.9999999999999999,0.000878189977772669
ffn,single,25,25,60,1.0,1.0,0.00011472159420638782,1.0,1.0,0.0018399389482894701,1.0,0.9999999999999999,0.0005218191768752716
ffn,single,26,26,60,1.0,1.0,0.00011325700079047588,1.0,1.0,0.003508187334487116,1.0,0.9999999999999999,0.0017285260303904378
ffn,single,27,27,60,1.0,1.0,0.00013083396341469542,1.0,1.0,0.0015683832418071264,1.0,0.9999999999999999,0.00034675497254924785
ffn,single,28,28,60,1.0,1.0,0.00014467826407162123,1.0,1.0,0.0029323585805060568,1.0,0.9999999999999999,0.0006257567624942142
ffn,single,29,29,60,1.0,1.0,0.00016805178500748592,1.0,1.0,0.002638645547154743,1.0,0.9999999999999999,0.0015177426523636439
